לאסוף מהפידר צינור,0.7,0,0,0.98
להניח L1,0.9,2,2,0.95
להניח L2,1.3,3,3,0.92
להניח L3,1.4,4,4,0.92
להניח L4,2.0,5,5,0.89
להפיל כדור L2,0.45,0,0,0.98
להפיל כדור L3,0.55,0,0,0.98
לאסוף כדור רצפה,0.5,0,0,0.97
לאסוף כדור קופץ,3.3,0,0,0.3
לאסוף צינור מהרצפה שוכב,0.95,0,0,0.95
לאסוף צינור מהרצפה עומד,1.0,0,0,0.97
לאסוף כדור L2,1.5,0,0,0.95
לאסוף כדור L3,1.7,0,0,0.95
להכניס כדור לפרוססור,0.7,3,3,0.98
לקלוע לנט,2.1,4,4,0.5
להניח בנט,1.7,4,4,0.92
טיפוס נמוך,4.6,12,12,0.9
טיפוס גבוה,4.0,6,6,0.9
חנייה,0.2,2,2,1.0
להניח L1 AUTO,0.6,3,3,0.95
להניח L2 AUTO,1.3,4,4,0.9
להניח L3 AUTO,1.4,6,6,0.9
להניח L4 AUTO,2.0,7,7,0.85
לעבור קו AUTO,0.01,3,3,1.0
F5,1.7,0,0,1.0
F6,2.15,0,0,1.0
F1,2.7,0,0,1.0
F2,2.9,0,0,1.0
F3,2.5,0,0,1.0
F4,2.0,0,0,1.0
Feeder-Reef,2.33,0,0,1.0
A1,1.1,0,0,1.0
A2,1.5,0,0,1.0
A3,2.3,0,0,1.0
Climb,2.4,0,0,1.0
Processor,2.55,0,0,1.0
Barge,2.4,0,0,1.0
Barge-Reef,2.0,0,0,1.0
Barge-Feeder,2.4,0,0,1.0
